prod_state_idx,action_idx,value
0,0,0.0000000000
0,1,0.0000000000
0,2,0.0000000000
0,3,0.0000000000
0,4,0.0000000000
0,5,0.0000000000
0,6,0.0000000000
0,7,0.0000000000
0,8,0.0000000000
1,0,0.0000000000
1,1,0.0000000000
1,2,0.0000000000
1,3,0.0000000000
1,4,0.0000000000
1,5,0.0000000000
1,6,0.0000000000
1,7,0.0000000000
1,8,0.0000000000
2,0,0.0000000000
2,1,0.0000000000
2,2,0.0000000000
2,3,0.0000000000
2,4,0.0000000000
2,5,0.0000000000
2,6,0.0000000000
2,7,0.0000000000
2,8,0.0000000000
3,0,0.0000000000
3,1,0.0000000000
3,2,0.0000000000
3,3,0.0000000000
3,4,0.0000000000
3,5,0.0000000000
3,6,0.0000000000
3,7,0.0000000000
3,8,0.0000000000
4,0,0.0000000000
4,1,0.0000000000
4,2,0.0000000000
4,3,0.0000000000
4,4,0.0000000000
4,5,0.0000000000
4,6,0.0000000000
4,7,0.0000000000
4,8,0.0000000000
5,0,0.0000000000
5,1,0.0000000000
5,2,0.0000000000
5,3,0.0000000000
5,4,0.0000000000
5,5,0.0000000000
5,6,0.0000000000
5,7,0.0000000000
5,8,0.0000000000
6,0,0.0000000000
6,1,0.0000000000
6,2,0.0000000000
6,3,0.0000000000
6,4,0.0000000000
6,5,0.0000000000
6,6,0.0000000000
6,7,0.0000000000
6,8,0.0000000000
7,0,0.0000000000
7,1,0.0000000000
7,2,0.0000000000
7,3,0.0000000000
7,4,0.0000000000
7,5,0.0000000000
7,6,0.0000000000
7,7,0.0000000000
7,8,0.0000000000
8,0,0.0000000000
8,1,0.0000000000
8,2,0.0000000000
8,3,0.0000000000
8,4,0.0000000000
8,5,0.0000000000
8,6,0.0000000000
8,7,0.0000000000
8,8,0.0000000000
9,0,0.0000000000
9,1,0.0000000000
9,2,0.0000000000
9,3,0.0000000000
9,4,0.0000000000
9,5,0.0000000000
9,6,0.0000000000
9,7,0.0000000000
9,8,0.0000000000
10,0,0.0000000000
10,1,0.0000000000
10,2,0.0000000000
10,3,0.0000000000
10,4,0.0000000000
10,5,0.0000000000
10,6,0.0000000000
10,7,0.0000000000
10,8,0.0000000000
11,0,0.0000000000
11,1,0.0000000000
11,2,0.0000000000
11,3,0.0000000000
11,4,0.0000000000
11,5,0.0000000000
11,6,0.0000000000
11,7,0.0000000000
11,8,0.0000000000
12,0,0.0000000000
12,1,0.0000000000
12,2,0.0000000000
12,3,0.0000000000
12,4,0.0000000000
12,5,0.0000000000
12,6,0.0000000000
12,7,0.0000000000
12,8,0.0000000000
13,0,0.0000000000
13,1,0.0000000000
13,2,0.0000000000
13,3,0.0000000000
13,4,0.0000000000
13,5,0.0000000000
13,6,0.0000000000
13,7,0.0000000000
13,8,0.0000000000
14,0,0.0000000000
14,1,0.0000000000
14,2,0.0000000000
14,3,0.0000000000
14,4,0.0000000000
14,5,0.0000000000
14,6,0.0000000000
14,7,0.0000000000
14,8,0.0000000000
15,0,0.0000000000
15,1,0.0000000000
15,2,0.0000000000
15,3,0.0000000000
15,4,0.0000000000
15,5,0.0000000000
15,6,0.0000000000
15,7,0.0000000000
15,8,0.0000000000
16,0,0.0000000000
16,1,0.0000000000
16,2,0.0000000000
16,3,0.0000000000
16,4,0.0000000000
16,5,0.0000000000
16,6,0.0000000000
16,7,0.0000000000
16,8,0.0000000000
17,0,0.0000000000
17,1,0.0000000000
17,2,0.0000000000
17,3,0.0000000000
17,4,0.0000000000
17,5,0.0000000000
17,6,0.0000000000
17,7,0.0000000000
17,8,0.0000000000
18,0,0.0000000000
18,1,0.0000000000
18,2,0.0000000000
18,3,0.0000000000
18,4,0.0000000000
18,5,0.0000000000
18,6,0.0000000000
18,7,0.0000000000
18,8,0.0000000000
19,0,0.0000000000
19,1,0.0000000000
19,2,0.0000000000
19,3,0.0000000000
19,4,0.0000000000
19,5,0.0000000000
19,6,0.0000000000
19,7,0.0000000000
19,8,0.0000000000
20,0,0.0000000000
20,1,0.0000000000
20,2,0.0000000000
20,3,0.0000000000
20,4,0.0000000000
20,5,0.0000000000
20,6,0.0000000000
20,7,0.0000000000
20,8,0.0000000000
21,0,0.0000000000
21,1,0.0000000000
21,2,0.0000000000
21,3,0.0000000000
21,4,0.0000000000
21,5,0.0000000000
21,6,0.0000000000
21,7,0.0000000000
21,8,0.0000000000
22,0,0.0000000000
22,1,0.0000000000
22,2,0.0000000000
22,3,0.0000000000
22,4,0.0000000000
22,5,0.0000000000
22,6,0.0000000000
22,7,0.0000000000
22,8,0.0000000000
23,0,0.0000000000
23,1,0.0000000000
23,2,0.0000000000
23,3,0.0000000000
23,4,0.0000000000
23,5,0.0000000000
23,6,0.0000000000
23,7,0.0000000000
23,8,0.0000000000
24,0,0.0000000000
24,1,0.0000000000
24,2,0.0000000000
24,3,0.0000000000
24,4,0.0000000000
24,5,0.0000000000
24,6,0.0000000000
24,7,0.0000000000
24,8,0.0000000000
25,0,0.0000000000
25,1,0.0000000000
25,2,0.0000000000
25,3,0.0000000000
25,4,0.0000000000
25,5,0.0000000000
25,6,0.0000000000
25,7,0.0000000000
25,8,0.0000000000
26,0,0.0000000000
26,1,0.0000000000
26,2,0.0000000000
26,3,0.0000000000
26,4,0.0000000000
26,5,0.0000000000
26,6,0.0000000000
26,7,0.0000000000
26,8,0.0000000000
27,0,0.0000000000
27,1,0.0000000000
27,2,0.0000000000
27,3,0.0000000000
27,4,0.0000000000
27,5,0.0000000000
27,6,0.0000000000
27,7,0.0000000000
27,8,0.0000000000
28,0,0.0000000000
28,1,0.0000000000
28,2,0.0000000000
28,3,0.0000000000
28,4,0.0000000000
28,5,0.0000000000
28,6,0.0000000000
28,7,0.0000000000
